Password: MODE: rx_listen
dev=/dev/ttymxc3 baud=921600
RUNTIME_PROFILE_ENUM=ERR request_failed:TimeoutError
=== W1-10b probe RX_LISTEN: window=79.0s ===
INFO: drained type=0xA0 seq=1 during boot settle
INFO: drained type=0xA0 seq=2 during boot settle
RX_LISTEN: STATS(before) radio_rx_ok=2442 radio_crc_err=11 radio_state=4
RX_LISTEN: RegOpMode(pre)=0x80 (expected 0x85)
__V2_AUTOWAKE__ opmode_pre=0x80 opmode_post=0x85 action=write
__W1_10B_LISTEN_READY__
__RX_FRAME__ idx=131 rssi=-118 snr=-2 len=17 timestamp_us=3130740949 payload_hex=5750207330322070303420693030333120
__RX_FRAME__ idx=132 rssi=-118 snr=-2 len=17 timestamp_us=3130836609 payload_hex=5750207330322070303420693030333220
__RX_FRAME__ idx=133 rssi=-117 snr=-3 len=17 timestamp_us=3130927870 payload_hex=5750207330322070303420693030333320
__RX_FRAME__ idx=134 rssi=-118 snr=-2 len=17 timestamp_us=3131022703 payload_hex=5750207330322070303420693030333420
__RX_FRAME__ idx=135 rssi=-118 snr=-2 len=17 timestamp_us=3131114434 payload_hex=5750207330322070303420693030333520
__RX_FRAME__ idx=136 rssi=-117 snr=-3 len=17 timestamp_us=3131209480 payload_hex=5750207330322070303420693030333620
__RX_FRAME__ idx=137 rssi=-117 snr=-2 len=17 timestamp_us=3131301152 payload_hex=5750207330322070303420693030333720
__RX_FRAME__ idx=138 rssi=-117 snr=-2 len=17 timestamp_us=3131396208 payload_hex=5750207330322070303420693030333820
__RX_FRAME__ idx=139 rssi=-118 snr=-3 len=17 timestamp_us=3131489087 payload_hex=5750207330322070303420693030333920
__RX_FRAME__ idx=140 rssi=-118 snr=-2 len=17 timestamp_us=3131584035 payload_hex=5750207330322070303420693030343020
__RX_FRAME__ idx=141 rssi=-118 snr=-3 len=17 timestamp_us=3131679914 payload_hex=5750207330322070303420693030343120
__RX_FRAME__ idx=142 rssi=-118 snr=-3 len=17 timestamp_us=3131775393 payload_hex=5750207330322070303420693030343220
__RX_FRAME__ idx=143 rssi=-118 snr=-3 len=17 timestamp_us=3131862483 payload_hex=5750207330322070303420693030343320
__RX_FRAME__ idx=144 rssi=-118 snr=-3 len=17 timestamp_us=3131953172 payload_hex=5750207330322070303420693030343420
__RX_FRAME__ idx=145 rssi=-117 snr=-2 len=17 timestamp_us=3132044732 payload_hex=5750207330322070303420693030343520
__RX_FRAME__ idx=146 rssi=-118 snr=-3 len=17 timestamp_us=3132136007 payload_hex=5750207330322070303420693030343620
__RX_FRAME__ idx=147 rssi=-118 snr=-3 len=17 timestamp_us=3132227692 payload_hex=5750207330322070303420693030343720
__RX_FRAME__ idx=148 rssi=-118 snr=-3 len=17 timestamp_us=3132314485 payload_hex=5750207330322070303420693030343820
__RX_FRAME__ idx=149 rssi=-118 snr=-3 len=17 timestamp_us=3132409577 payload_hex=5750207330322070303420693030343920
