=== W2-02 TX: 344 fragments, uart=/dev/ttymxc3 ===
__W2_02_TX_FRAG__ idx=58 tx_id=0x3A status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fd001dab2050382046000000b003009d012a200020003efd66ae4eab2524a230180c01601f8965000025dc4406014cedd10000fe1674fe0f3fefb4ba1065fedb
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=59 tx_id=0x3B status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fd001dab2150382046000000b003009d012a200020003efd66ae4eab2524a230180c01601f8965000025dc4406014cedd10000fe1674fe0f3fefb4ba1065fedb
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=60 tx_id=0x3C status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fd001eab20f65b6f4d27beda12c2b93498049a62e0000075524946466e000000574542505650382062000000b004009d012a200020003eed62a74ea9a5a3a237
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=61 tx_id=0x3D status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fd001eab21f65b6f4d27beda12c2b93498049a62e0000075524946466e000000574542505650382062000000b004009d012a200020003eed62a74ea9a5a3a237
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=62 tx_id=0x3E status=0(OK) toa_us=59008 elapsed_ms=73.5 payload_hex=fd001fab20faa801301d896300af0c16f66d6e473473c08402ebfdee09f42000cc79b8b8fc238849ca062826e052a84870eb146f3ae8d1d14b9944e8eddc0e65
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=63 tx_id=0x3F status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fd001fab21faa801301d896300af0c16f66d6e473473c08402ebfdee09f42000cc79b8b8fc238849ca062826e052a84870eb146f3ae8d1d14b9944e8eddc0e65
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=64 tx_id=0x40 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fd0020ab2033f242638f58f340e5d86750b091a02d0000006b52494646640000005745425056503820580000001004009d012a200020003ef566aa4eaaa5a3a2
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=65 tx_id=0x41 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fd0020ab2133f242638f58f340e5d86750b091a02d0000006b52494646640000005745425056503820580000001004009d012a200020003ef566aa4eaaa5a3a2
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=66 tx_id=0x42 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fd0021ab2037f55801501e896500c2804ed745544c960d90d0053800fee2e06abf6fcf6bc3634859f5eb7f306c7a8432d1d80debe6996bd60eff780e7018aca6
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=67 tx_id=0x43 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fd0021ab2137f55801501e896500c2804ed745544c960d90d0053800fee2e06abf6fcf6bc3634859f5eb7f306c7a8432d1d80debe6996bd60eff780e7018aca6
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=68 tx_id=0x44 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fd0022ab20b87d22053e21ffd5180071524946466a00000057454250565038205e0000009004009d012a200020003ef15ea94ea9a5242237faa801301e096300
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=69 tx_id=0x45 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fd0022ab21b87d22053e21ffd5180071524946466a00000057454250565038205e0000009004009d012a200020003ef15ea94ea9a5242237faa801301e096300
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=70 tx_id=0x46 status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fd0023ab20d0541bb55b59e604d5b84ba093de292ac000ef95be9b25078b84bf3a691ea15d9863dcbaeebff59cece535d8bc5e5ca74ebf267f9763a718e5ec43
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=71 tx_id=0x47 status=0(OK) toa_us=59008 elapsed_ms=73.6 payload_hex=fd0023ab21d0541bb55b59e604d5b84ba093de292ac000ef95be9b25078b84bf3a691ea15d9863dcbaeebff59cece535d8bc5e5ca74ebf267f9763a718e5ec43
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=72 tx_id=0x48 status=0(OK) toa_us=59008 elapsed_ms=73.4 payload_hex=fd0024ab20bdc1c5800000005b52494646540000005745425056503820480000007003009d012a200020003f0172b251ab26a4a3a80aa96020096300bd580d3a
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=73 tx_id=0x49 status=0(OK) toa_us=59008 elapsed_ms=73.5 payload_hex=fd0024ab21bdc1c5800000005b52494646540000005745425056503820480000007003009d012a200020003f0172b251ab26a4a3a80aa96020096300bd580d3a
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=74 tx_id=0x4A status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fd0025ab205de3e7000000feed6101ff346c2581138d3e656db26377eb0a3b1b72fb087c0cc00573aa9ccc66c80061524946465a00000057454250565038204e
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=75 tx_id=0x4B status=0(OK) toa_us=59008 elapsed_ms=73.5 payload_hex=fd0025ab215de3e7000000feed6101ff346c2581138d3e656db26377eb0a3b1b72fb087c0cc00573aa9ccc66c80061524946465a00000057454250565038204e
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=76 tx_id=0x4C status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fd0026ab20000000f003009d012a200020003ef966aa4eaaa5a3a237f55801501f094018de8ac9d4af0708f56f278c6000fee2e0725c2ead26d2a253da25aee8
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=77 tx_id=0x4D status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fd0026ab21000000f003009d012a200020003ef966aa4eaaa5a3a237f55801501f094018de8ac9d4af0708f56f278c6000fee2e0725c2ead26d2a253da25aee8
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=78 tx_id=0x4E status=0(OK) toa_us=59008 elapsed_ms=73.5 payload_hex=fd0027ab208eea52a58fb27ab3a275d222cc8947581941f7f6e4004952494646420000005745425056503820360000001003009d012a200020003f0178b453ab
INFO: unrelated frame during TX wait type=0xC0
__W2_02_TX_FRAG__ idx=79 tx_id=0x4F status=0(OK) toa_us=59008 elapsed_ms=73.3 payload_hex=fd0027ab218eea52a58fb27ab3a275d222cc8947581941f7f6e4004952494646420000005745425056503820360000001003009d012a200020003f0178b453ab
INFO: unrelated frame during TX wait type=0xC0
