Password: MODE: rx_listen
dev=/dev/ttymxc3 baud=921600
RUNTIME_PROFILE_ENUM=ERR request_failed:TimeoutError
=== W1-10b probe RX_LISTEN: window=55.0s ===
INFO: drained type=0xA0 seq=1 during boot settle
INFO: drained type=0xA0 seq=2 during boot settle
RX_LISTEN: STATS(before) radio_rx_ok=3906 radio_crc_err=16 radio_state=4
RX_LISTEN: RegOpMode(pre)=0x80 (expected 0x85)
__V2_AUTOWAKE__ opmode_pre=0x80 opmode_post=0x85 action=write
__W1_10B_LISTEN_READY__
__RX_FRAME__ idx=144 rssi=-117 snr=-1 len=17 timestamp_us=3313151123 payload_hex=5750207330332070303520693030313420
__RX_FRAME__ idx=145 rssi=-117 snr=-1 len=17 timestamp_us=3313212140 payload_hex=5750207330332070303520693030313520
__RX_FRAME__ idx=146 rssi=-118 snr=-2 len=17 timestamp_us=3313273362 payload_hex=5750207330332070303520693030313620
__RX_FRAME__ idx=147 rssi=-118 snr=-2 len=17 timestamp_us=3313331690 payload_hex=5750207330332070303520693030313720
__RX_FRAME__ idx=148 rssi=-118 snr=-2 len=17 timestamp_us=3313390957 payload_hex=5750207330332070303520693030313820
__RX_FRAME__ idx=149 rssi=-117 snr=-1 len=17 timestamp_us=3313450400 payload_hex=5750207330332070303520693030313920
__RX_FRAME__ idx=150 rssi=-118 snr=-2 len=17 timestamp_us=3313610673 payload_hex=5750207330332070303520693030323320
__RX_FRAME__ idx=151 rssi=-118 snr=-2 len=17 timestamp_us=3313669159 payload_hex=5750207330332070303520693030323420
__RX_FRAME__ idx=152 rssi=-117 snr=-2 len=17 timestamp_us=3313730419 payload_hex=5750207330332070303520693030323520
__RX_FRAME__ idx=153 rssi=-118 snr=-1 len=17 timestamp_us=3313791874 payload_hex=5750207330332070303520693030323620
__RX_FRAME__ idx=154 rssi=-117 snr=-2 len=17 timestamp_us=3313856762 payload_hex=5750207330332070303520693030323720
__RX_FRAME__ idx=155 rssi=-118 snr=-1 len=17 timestamp_us=3313923203 payload_hex=5750207330332070303520693030323820
__RX_FRAME__ idx=156 rssi=-117 snr=-2 len=17 timestamp_us=3313988576 payload_hex=5750207330332070303520693030323920
__RX_FRAME__ idx=157 rssi=-118 snr=-2 len=17 timestamp_us=3314049627 payload_hex=5750207330332070303520693030333020
__RX_FRAME__ idx=158 rssi=-117 snr=-2 len=17 timestamp_us=3314110808 payload_hex=5750207330332070303520693030333120
__RX_FRAME__ idx=159 rssi=-118 snr=-2 len=17 timestamp_us=3314226132 payload_hex=5750207330332070303520693030333320
__RX_FRAME__ idx=160 rssi=-118 snr=-1 len=17 timestamp_us=3314287315 payload_hex=5750207330332070303520693030333420
__RX_FRAME__ idx=161 rssi=-117 snr=-2 len=17 timestamp_us=3314343820 payload_hex=5750207330332070303520693030333520
__RX_FRAME__ idx=162 rssi=-118 snr=-1 len=17 timestamp_us=3314405168 payload_hex=5750207330332070303520693030333620
__RX_FRAME__ idx=163 rssi=-117 snr=-2 len=17 timestamp_us=3314466067 payload_hex=5750207330332070303520693030333720
__RX_FRAME__ idx=164 rssi=-118 snr=-1 len=17 timestamp_us=3314627600 payload_hex=5750207330332070303520693030343120
__RX_FRAME__ idx=165 rssi=-117 snr=-2 len=17 timestamp_us=3314692694 payload_hex=5750207330332070303520693030343220
__RX_FRAME__ idx=166 rssi=-118 snr=-2 len=17 timestamp_us=3314753010 payload_hex=5750207330332070303520693030343320
__RX_FRAME__ idx=167 rssi=-117 snr=-2 len=17 timestamp_us=3314812425 payload_hex=5750207330332070303520693030343420
__RX_FRAME__ idx=168 rssi=-117 snr=-2 len=17 timestamp_us=3314871192 payload_hex=5750207330332070303520693030343520
__RX_FRAME__ idx=169 rssi=-117 snr=-2 len=17 timestamp_us=3314929517 payload_hex=5750207330332070303520693030343620
__RX_FRAME__ idx=170 rssi=-118 snr=-2 len=17 timestamp_us=3314988224 payload_hex=5750207330332070303520693030343720
__RX_FRAME__ idx=171 rssi=-118 snr=-2 len=17 timestamp_us=3315053175 payload_hex=5750207330332070303520693030343820
__RX_FRAME__ idx=172 rssi=-117 snr=-2 len=17 timestamp_us=3315114527 payload_hex=5750207330332070303520693030343920
__RX_FRAME__ idx=173 rssi=-117 snr=0 len=17 timestamp_us=3315227990 payload_hex=5750207330342070303620693030303020
__RX_FRAME__ idx=174 rssi=-117 snr=0 len=17 timestamp_us=3315293185 payload_hex=5750207330342070303620693030303120
__RX_FRAME__ idx=175 rssi=-116 snr=-1 len=17 timestamp_us=3315350903 payload_hex=5750207330342070303620693030303220
__RX_FRAME__ idx=176 rssi=-118 snr=-1 len=17 timestamp_us=3315410209 payload_hex=5750207330342070303620693030303320
__RX_FRAME__ idx=177 rssi=-117 snr=0 len=17 timestamp_us=3315471467 payload_hex=5750207330342070303620693030303420
__RX_FRAME__ idx=178 rssi=-117 snr=-1 len=17 timestamp_us=3315532458 payload_hex=5750207330342070303620693030303520
__RX_FRAME__ idx=179 rssi=-117 snr=-1 len=17 timestamp_us=3315631599 payload_hex=5750207330342070303620693030303720
__RX_FRAME__ idx=180 rssi=-117 snr=-1 len=17 timestamp_us=3315697090 payload_hex=5750207330342070303620693030303820
__RX_FRAME__ idx=181 rssi=-118 snr=-1 len=17 timestamp_us=3315758050 payload_hex=5750207330342070303620693030303920
__RX_FRAME__ idx=182 rssi=-116 snr=-1 len=17 timestamp_us=3315819501 payload_hex=5750207330342070303620693030313020
__RX_FRAME__ idx=183 rssi=-117 snr=-1 len=17 timestamp_us=3315880537 payload_hex=5750207330342070303620693030313120
__RX_FRAME__ idx=184 rssi=-117 snr=-1 len=17 timestamp_us=3315937089 payload_hex=5750207330342070303620693030313220
__RX_FRAME__ idx=185 rssi=-117 snr=0 len=17 timestamp_us=3315998085 payload_hex=5750207330342070303620693030313320
__RX_FRAME__ idx=186 rssi=-117 snr=-1 len=17 timestamp_us=3316056508 payload_hex=5750207330342070303620693030313420
__RX_FRAME__ idx=187 rssi=-117 snr=-1 len=17 timestamp_us=3316121920 payload_hex=5750207330342070303620693030313520
__RX_FRAME__ idx=188 rssi=-117 snr=0 len=17 timestamp_us=3316187089 payload_hex=5750207330342070303620693030313620
__RX_FRAME__ idx=189 rssi=-117 snr=-1 len=17 timestamp_us=3316248378 payload_hex=5750207330342070303620693030313720
__RX_FRAME__ idx=190 rssi=-117 snr=0 len=17 timestamp_us=3316309611 payload_hex=5750207330342070303620693030313820
__RX_FRAME__ idx=191 rssi=-116 snr=-1 len=17 timestamp_us=3316369718 payload_hex=5750207330342070303620693030313920
__RX_FRAME__ idx=192 rssi=-116 snr=0 len=17 timestamp_us=3316434788 payload_hex=5750207330342070303620693030323020
__RX_FRAME__ idx=193 rssi=-117 snr=0 len=17 timestamp_us=3316496341 payload_hex=5750207330342070303620693030323120
__RX_FRAME__ idx=194 rssi=-116 snr=-1 len=17 timestamp_us=3316665000 payload_hex=5750207330342070303620693030323520
__RX_FRAME__ idx=195 rssi=-117 snr=-1 len=17 timestamp_us=3316722769 payload_hex=5750207330342070303620693030323620
__RX_FRAME__ idx=196 rssi=-117 snr=-1 len=17 timestamp_us=3316781869 payload_hex=5750207330342070303620693030323720
__RX_FRAME__ idx=197 rssi=-117 snr=-1 len=17 timestamp_us=3316847281 payload_hex=5750207330342070303620693030323820
__RX_FRAME__ idx=198 rssi=-116 snr=-1 len=17 timestamp_us=3316912506 payload_hex=5750207330342070303620693030323920
__RX_FRAME__ idx=199 rssi=-117 snr=-1 len=17 timestamp_us=3316970399 payload_hex=5750207330342070303620693030333020
__RX_FRAME__ idx=200 rssi=-117 snr=0 len=17 timestamp_us=3317035046 payload_hex=5750207330342070303620693030333120
